ciudad,latitud,longitud,amanecer,valores,temp,temp_min
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
,,,,,23.81,23.81
